row,userUUID,name,email,region,subRegion,city,facebookID,facebookFriends,twitterID,twitterFollowers
87,uu87,Darnell Doering ,darnell@gmail.com,EU,DE,Berlin,darnell@fb.com,"uu39,uu55,uu8,uu33,uu66,uu73",@darnell,"uu1,uu9,uu14,uu54,uu20,uu86,uu33,uu35,uu87,uu37,uu99,uu87,uu96,uu83,uu23"
30,uu30,Deedra Disandro ,deedra@gmail.com,USA,CA,San Francisco,deedra@fb.com,"uu33,uu94,uu75,uu32,uu94,uu88",@deedra,"uu64,uu27,uu56,uu42,uu45,uu24,uu72,uu53,uu33,uu27,uu32,uu76,uu7,uu29,uu52"
42,uu42,Dina Dreher ,dina@gmail.com,USA,UT,Salt Lake City,dina@fb.com,"uu86,uu65,uu31,uu97,uu11,uu94",@dina,"uu47,uu43,uu90,uu19,uu62,uu35,uu35,uu8,uu6,uu22,uu35,uu66,uu76,uu63,uu1"
18,uu18,Elena Elwood ,elena@gmail.com,USA,NY,New York,elena@fb.com,"uu56,uu38,uu53,uu61,uu85,uu33",@elena,"uu42,uu80,uu10,uu87,uu20,uu27,uu84,uu89,uu8,uu14,uu12,uu37,uu28,uu48,uu41"
16,uu16,Elina Enfinger ,elina@gmail.com,USA,NY,New York,elina@fb.com,"uu70,uu3,uu43,uu65,uu35,uu85",@elina,"uu29,uu9,uu80,uu100,uu65,uu78,uu4,uu66,uu25,uu35,uu89,uu15,uu20,uu95,uu49"
9,uu9,Elsy Eckhardt ,elsy@gmail.com,USA,CA,Los Angeles,elsy@fb.com,"uu51,uu19,uu46,uu4,uu24,uu28",@elsy,"uu51,uu46,uu80,uu58,uu54,uu77,uu48,uu93,uu47,uu38,uu61,uu37,uu10,uu41,uu9"
50,uu50,Emmett Eugene ,emmett@gmail.com,USA,UT,Salt Lake City,emmett@fb.com,"uu13,uu59,uu62,uu86,uu99,uu53",@emmett,"uu56,uu6,uu12,uu33,uu55,uu36,uu26,uu47,uu70,uu25,uu3,uu32,uu69,uu72,uu69"
72,uu72,Ernestina Enoch ,ernestina@gmail.com,EU,GB,London,ernestina@fb.com,"uu58,uu10,uu83,uu24,uu21,uu15",@ernestina,"uu35,uu12,uu54,uu62,uu65,uu53,uu35,uu16,uu6,uu92,uu72,uu51,uu56,uu68,uu23"
13,uu13,Eugenie Elling ,eugenie@gmail.com,USA,CA,San Mateo,eugenie@fb.com,"uu73,uu66,uu29,uu40,uu91,uu40",@eugenie,"uu54,uu20,uu20,uu96,uu84,uu79,uu19,uu36,uu37,uu77,uu51,uu53,uu12,uu20,uu61"
78,uu78,Fumiko Fairfield ,fumiko@gmail.com,EU,GB,London,fumiko@fb.com,"uu8,uu85,uu23,uu95,uu98,uu63",@fumiko,"uu11,uu79,uu81,uu34,uu40,uu76,uu6,uu12,uu75,uu87,uu66,uu89,uu75,uu76,uu75"
82,uu82,Geri Garret ,geri@gmail.com,EU,DE,Berlin,geri@fb.com,"uu12,uu77,uu26,uu50,uu10,uu25",@geri,"uu22,uu84,uu23,uu88,uu90,uu12,uu77,uu67,uu54,uu87,uu86,uu92,uu56,uu53,uu29"
4,uu4,Greta Workman,greta@gmail.com,USA,CA,San Francisco,greta@fb.com,"uu63,uu47,uu77,uu8,uu53,uu49",@greta,"uu27,uu62,uu73,uu59,uu34,uu76,uu19,uu89,uu82,uu61,uu16,uu45,uu24,uu90,uu56"
45,uu45,Hank Taylor,hank@gmail.com,USA,UT,Salt Lake City,hank@fb.com,"uu40,uu52,uu4,uu10,uu90,uu11",@hank,"uu12,uu59,uu70,uu72,uu77,uu9,uu42,uu85,uu73,uu32,uu48,uu51,uu47,uu76,uu66"
32,uu32,Hans Hornberger ,hans@gmail.com,USA,UT,Provo,hans@fb.com,"uu57,uu37,uu7,uu86,uu83,uu26",@hans,"uu78,uu3,uu46,uu27,uu58,uu69,uu12,uu10,uu96,uu92,uu63,uu68,uu77,uu92,uu98"
71,uu71,Ilene Isenberg ,ilene@gmail.com,EU,GB,London,ilene@fb.com,"uu83,uu41,uu32,uu63,uu7,uu18",@ilene,"uu87,uu98,uu7,uu60,uu38,uu75,uu30,uu72,uu27,uu61,uu100,uu47,uu19,uu78,uu24"
3,uu3,Inger Ikner,inger@gmail.com,USA,CA,San Francisco,inger@fb.com,"uu23,uu95,uu36,uu16,uu70,uu95",@inger,"uu84,uu99,uu87,uu72,uu10,uu76,uu5,uu7,uu23,uu95,uu14,uu81,uu69,uu48,uu12"
15,uu15,Irving Izzard ,irving@gmail.com,USA,NY,New York,irving@fb.com,"uu2,uu25,uu97,uu90,uu100,uu4",@irving,"uu17,uu48,uu88,uu92,uu63,uu53,uu79,uu14,uu80,uu36,uu10,uu95,uu72,uu73,uu28"
89,uu89,Isidra Islas ,isidra@gmail.com,EU,IT,Rome,isidra@fb.com,"uu47,uu21,uu35,uu64,uu97,uu21",@isidra,"uu55,uu18,uu28,uu9,uu20,uu57,uu53,uu21,uu71,uu82,uu11,uu87,uu9,uu12,uu80"
55,uu55,Jackeline Jong ,jackeline@gmail.com,USA,TX,Austin,jackeline@fb.com,"uu87,uu4,uu83,uu47,uu84,uu71",@jackeline,"uu65,uu76,uu84,uu16,uu80,uu50,uu89,uu1,uu23,uu50,uu80,uu50,uu93,uu80,uu29"
70,uu70,Jamika Jorden ,jamika@gmail.com,EU,GB,London,jamika@fb.com,"uu72,uu56,uu5,uu8,uu21,uu11",@jamika,"uu51,uu55,uu100,uu15,uu45,uu39,uu13,uu28,uu99,uu55,uu28,uu44,uu31,uu44,uu47"
81,uu81,Janay Jonason ,janay@gmail.com,EU,DE,Dresden,janay@fb.com,"uu47,uu13,uu28,uu3,uu88,uu17",@janay,"uu96,uu72,uu55,uu98,uu57,uu19,uu48,uu97,uu13,uu23,uu91,uu80,uu64,uu64,uu27"
80,uu80,Janyce Jarrells ,janyce@gmail.com,EU,DE,Dresden,janyce@fb.com,"uu96,uu37,uu86,uu86,uu83,uu63",@janyce,"uu99,uu25,uu49,uu98,uu1,uu23,uu58,uu51,uu71,uu1,uu17,uu41,uu6,uu30,uu6"
19,uu19,Jeanmarie Jaffe ,jeanmarie@gmail.com,USA,NY,New York,jeanmarie@fb.com,"uu63,uu95,uu90,uu85,uu90,uu85",@jeanmarie,"uu25,uu30,uu14,uu92,uu30,uu63,uu40,uu38,uu28,uu56,uu23,uu90,uu25,uu60,uu100"
22,uu22,Jeffery Jackman ,jeffery@gmail.com,USA,NY,New York,jeffery@fb.com,"uu69,uu46,uu71,uu76,uu91,uu6",@jeffery,"uu83,uu42,uu96,uu59,uu65,uu41,uu94,uu5,uu23,uu90,uu17,uu89,uu42,uu5,uu11"
100,uu100,Jessika Judah ,jessika@gmail.com,EU,SE,Malmo,jessika@fb.com,"uu36,uu60,uu56,uu41,uu49,uu96",@jessika,"uu99,uu13,uu15,uu96,uu25,uu38,uu36,uu65,uu85,uu59,uu76,uu67,uu70,uu74,uu15"
56,uu56,Katia Kohout ,katia@gmail.com,USA,TX,Austin,katia@fb.com,"uu82,uu15,uu51,uu92,uu60,uu69",@katia,"uu78,uu26,uu79,uu84,uu65,uu86,uu3,uu10,uu91,uu54,uu55,uu8,uu11,uu83,uu40"
54,uu54,Kemberly Knisley ,kemberly@gmail.com,USA,TX,Austin,kemberly@fb.com,"uu61,uu17,uu13,uu5,uu90,uu38",@kemberly,"uu1,uu47,uu84,uu69,uu11,uu100,uu44,uu88,uu15,uu6,uu62,uu37,uu52,uu34,uu44"
5,uu5,Kevin Van Gundy,kevin@gmail.com,USA,CA,San Mateo,kevin@fb.com,"uu100,uu36,uu55,uu71,uu56,uu50",@kevin,"uu16,uu97,uu68,uu62,uu54,uu51,uu13,uu95,uu70,uu63,uu51,uu90,uu18,uu22,uu23"
14,uu14,Kristofer Kirshner ,kristofer@gmail.com,USA,CA,San Mateo,kristofer@fb.com,"uu16,uu10,uu89,uu75,uu52,uu3",@kristofer,"uu84,uu73,uu16,uu73,uu12,uu70,uu29,uu30,uu74,uu35,uu13,uu76,uu62,uu86,uu96"
91,uu91,Lashanda Loeb ,lashanda@gmail.com,EU,IT,Rome,lashanda@fb.com,"uu59,uu39,uu70,uu16,uu40,uu48",@lashanda,"uu16,uu65,uu71,uu95,uu57,uu43,uu13,uu64,uu84,uu51,uu60,uu19,uu49,uu78,uu36"
77,uu77,Len Loar ,len@gmail.com,EU,GB,London,len@fb.com,"uu33,uu16,uu68,uu73,uu81,uu72",@len,"uu49,uu40,uu2,uu19,uu70,uu90,uu91,uu83,uu16,uu53,uu61,uu49,uu27,uu65,uu50"
86,uu86,Lenny Lago ,lenny@gmail.com,EU,DE,Berlin,lenny@fb.com,"uu11,uu20,uu48,uu9,uu97,uu82",@lenny,"uu28,uu80,uu90,uu21,uu34,uu9,uu60,uu88,uu25,uu10,uu23,uu87,uu32,uu8,uu71"
10,uu10,Loreta Larrimore ,loreta@gmail.com,USA,CA,Los Angeles,loreta@fb.com,"uu39,uu61,uu91,uu70,uu60,uu13",@loreta,"uu87,uu29,uu23,uu9,uu87,uu75,uu71,uu72,uu36,uu29,uu60,uu20,uu11,uu34,uu85"
76,uu76,Loretta Linehan ,loretta@gmail.com,EU,GB,London,loretta@fb.com,"uu72,uu75,uu66,uu13,uu85,uu71",@loretta,"uu17,uu87,uu92,uu81,uu57,uu92,uu89,uu5,uu74,uu2,uu74,uu12,uu12,uu50,uu87"
75,uu75,Lorrine Lowell ,lorrine@gmail.com,EU,GB,London,lorrine@fb.com,"uu32,uu40,uu62,uu59,uu55,uu10",@lorrine,"uu86,uu50,uu94,uu35,uu24,uu84,uu65,uu82,uu72,uu58,uu25,uu83,uu48,uu57,uu96"
57,uu57,Lupe Levar ,lupe@gmail.com,USA,TX,Austin,lupe@fb.com,"uu24,uu34,uu12,uu71,uu6,uu14",@lupe,"uu17,uu89,uu44,uu24,uu25,uu84,uu44,uu27,uu44,uu82,uu61,uu64,uu32,uu58,uu47"
94,uu94,Mandi Marton ,mandi@gmail.com,EU,IT,Naples,mandi@fb.com,"uu81,uu59,uu79,uu100,uu39,uu88",@mandi,"uu45,uu14,uu100,uu42,uu71,uu12,uu29,uu64,uu35,uu95,uu33,uu10,uu25,uu54,uu60"
58,uu58,Marcel Martir ,marcel@gmail.com,USA,TX,Austin,marcel@fb.com,"uu80,uu43,uu25,uu61,uu28,uu86",@marcel,"uu65,uu29,uu50,uu53,uu85,uu95,uu97,uu72,uu76,uu66,uu73,uu73,uu84,uu22,uu26"
92,uu92,Margareta Meli ,margareta@gmail.com,EU,IT,Rome,margareta@fb.com,"uu10,uu46,uu25,uu48,uu96,uu82",@margareta,"uu64,uu86,uu92,uu15,uu12,uu46,uu8,uu61,uu14,uu8,uu34,uu9,uu53,uu51,uu17"
25,uu25,Maud Maclachlan ,maud@gmail.com,USA,NY,Albany,maud@fb.com,"uu50,uu19,uu63,uu72,uu41,uu77",@maud,"uu73,uu95,uu80,uu5,uu68,uu56,uu70,uu48,uu74,uu50,uu54,uu63,uu76,uu12,uu83"
27,uu27,Maureen Morrissey ,maureen@gmail.com,USA,NY,Albany,maureen@fb.com,"uu3,uu20,uu31,uu13,uu61,uu93",@maureen,"uu12,uu53,uu78,uu45,uu96,uu83,uu86,uu69,uu50,uu80,uu10,uu41,uu85,uu49,uu9"
17,uu17,Max Moschella ,max2@gmail.com,USA,NY,New York,max2@fb.com,"uu95,uu11,uu26,uu34,uu6,uu54",@max2,"uu46,uu50,uu97,uu11,uu21,uu25,uu21,uu72,uu56,uu11,uu54,uu21,uu65,uu77,uu71"
34,uu34,Max Demarzi,max@gmail.com,USA,IL,Chicago,max@fb.com,"uu52,uu68,uu8,uu83,uu62,uu66",@max,"uu10,uu80,uu81,uu80,uu88,uu99,uu56,uu84,uu15,uu9,uu65,uu66,uu61,uu35,uu54"
62,uu62,May Michels ,may@gmail.com,USA,TX,Dallas,may@fb.com,"uu46,uu70,uu40,uu92,uu59,uu7",@may,"uu63,uu52,uu13,uu44,uu91,uu98,uu51,uu6,uu42,uu71,uu77,uu81,uu63,uu92,uu66"
31,uu31,Melynda Mehl ,melynda@gmail.com,USA,CA,Palo Alto,melynda@fb.com,"uu84,uu48,uu4,uu8,uu88,uu65",@melynda,"uu70,uu56,uu96,uu80,uu75,uu54,uu77,uu49,uu81,uu45,uu61,uu38,uu68,uu32,uu63"
6,uu6,Michael Hunger,michael@gmail.com,EU,DE,Dresden,michael@fb.com,"uu15,uu48,uu46,uu45,uu53,uu72",@michael,"uu20,uu66,uu51,uu71,uu65,uu92,uu57,uu88,uu41,uu79,uu32,uu55,uu62,uu43,uu10"
8,uu8,Nicole White,nicole@gmail.com,USA,CA,San Mateo,nicole@fb.com,"uu59,uu44,uu18,uu54,uu35,uu11",@nicole,"uu6,uu25,uu65,uu92,uu2,uu56,uu63,uu79,uu31,uu27,uu37,uu99,uu15,uu57,uu69"
29,uu29,Niki Neidig ,niki@gmail.com,USA,CA,San Francisco,niki@fb.com,"uu83,uu93,uu70,uu1,uu40,uu80",@niki,"uu61,uu88,uu93,uu46,uu46,uu64,uu21,uu42,uu62,uu60,uu15,uu97,uu60,uu87,uu18"
99,uu99,Norbert Nolte ,norbert@gmail.com,EU,SE,Malmo,norbert@fb.com,"uu82,uu16,uu45,uu76,uu41,uu20",@norbert,"uu96,uu69,uu8,uu74,uu74,uu27,uu18,uu5,uu51,uu15,uu49,uu15,uu81,uu57,uu95"
48,uu48,Pat Pless ,pat@gmail.com,USA,UT,Salt Lake City,pat@fb.com,"uu33,uu67,uu27,uu24,uu52,uu7",@pat,"uu36,uu2,uu61,uu23,uu69,uu63,uu15,uu54,uu98,uu25,uu52,uu24,uu93,uu91,uu34"
44,uu44,Pennie Profit ,pennie@gmail.com,USA,UT,Salt Lake City,pennie@fb.com,"uu83,uu29,uu91,uu78,uu19,uu90",@pennie,"uu94,uu9,uu22,uu10,uu60,uu34,uu37,uu83,uu21,uu17,uu39,uu95,uu39,uu56,uu47"
68,uu68,Quyen Quinones ,quyen@gmail.com,EU,GB,London,quyen@fb.com,"uu61,uu5,uu44,uu12,uu62,uu69",@quyen,"uu46,uu85,uu5,uu74,uu39,uu32,uu5,uu86,uu55,uu78,uu85,uu22,uu49,uu62,uu17"
61,uu61,Raphael Roots ,raphael@gmail.com,USA,TX,Dallas,raphael@fb.com,"uu56,uu40,uu22,uu64,uu60,uu48",@raphael,"uu10,uu15,uu19,uu29,uu94,uu99,uu38,uu81,uu5,uu32,uu14,uu46,uu34,uu33,uu6"
90,uu90,Ray Ravenell ,ray@gmail.com,EU,IT,Rome,ray@fb.com,"uu44,uu97,uu72,uu96,uu50,uu43",@ray,"uu65,uu34,uu75,uu62,uu97,uu98,uu77,uu72,uu57,uu68,uu59,uu71,uu45,uu52,uu29"
85,uu85,Rickey Ryles ,rickey@gmail.com,EU,DE,Berlin,rickey@fb.com,"uu98,uu47,uu62,uu63,uu71,uu9",@rickey,"uu59,uu37,uu66,uu85,uu47,uu31,uu99,uu58,uu55,uu93,uu90,uu34,uu74,uu98,uu95"
2,uu2,Rosaria Rock,rosaria@gmail.com,USA,CA,San Francisco,rosaria@fb.com,"uu74,uu12,uu7,uu58,uu2,uu58",@rosaria,"uu46,uu30,uu76,uu99,uu91,uu30,uu1,uu72,uu95,uu6,uu78,uu38,uu54,uu65,uu54"
96,uu96,Rudolf Robuck ,rudolf@gmail.com,EU,SE,Malmo,rudolf@fb.com,"uu94,uu40,uu2,uu86,uu79,uu36",@rudolf,"uu88,uu1,uu9,uu14,uu33,uu58,uu1,uu46,uu79,uu70,uu6,uu66,uu47,uu66,uu61"
60,uu60,Sabina Shriner ,sabina@gmail.com,USA,TX,Austin,sabina@fb.com,"uu59,uu73,uu62,uu54,uu23,uu14",@sabina,"uu22,uu54,uu64,uu84,uu61,uu76,uu51,uu37,uu36,uu18,uu29,uu9,uu48,uu95,uu33"
40,uu40,Sharell Sollers ,sharell@gmail.com,USA,UT,Salt Lake City,sharell@fb.com,"uu22,uu54,uu77,uu83,uu29,uu40",@sharell,"uu72,uu21,uu37,uu30,uu77,uu38,uu52,uu80,uu99,uu73,uu5,uu72,uu68,uu42,uu20"
12,uu12,Sharyn Santini ,sharyn@gmail.com,USA,CA,San Mateo,sharyn@fb.com,"uu91,uu65,uu74,uu50,uu37,uu31",@sharyn,"uu29,uu67,uu43,uu88,uu92,uu17,uu72,uu70,uu91,uu19,uu29,uu82,uu6,uu11,uu48"
53,uu53,Sunshine Stobaugh ,sunshine@gmail.com,USA,TX,Austin,sunshine@fb.com,"uu21,uu3,uu94,uu46,uu84,uu22",@sunshine,"uu31,uu10,uu6,uu54,uu57,uu98,uu66,uu53,uu64,uu59,uu72,uu55,uu82,uu93,uu27"
84,uu84,Tami Toppin ,tami@gmail.com,EU,DE,Berlin,tami@fb.com,"uu91,uu98,uu92,uu62,uu70,uu1",@tami,"uu44,uu31,uu11,uu36,uu31,uu68,uu77,uu7,uu66,uu74,uu93,uu60,uu6,uu61,uu59"
26,uu26,Tarsha Teeter ,tarsha@gmail.com,USA,NY,Albany,tarsha@fb.com,"uu27,uu74,uu76,uu54,uu55,uu80",@tarsha,"uu45,uu68,uu99,uu6,uu79,uu97,uu82,uu82,uu64,uu63,uu71,uu70,uu83,uu9,uu49"
97,uu97,Tarsha Thibeau ,tarsha2@gmail.com,EU,SE,Malmo,tarsha2@fb.com,"uu31,uu91,uu20,uu46,uu64,uu15",@tarsha2,"uu31,uu78,uu23,uu47,uu95,uu86,uu32,uu42,uu95,uu48,uu29,uu12,uu38,uu73,uu47"
39,uu39,Tia Twersky ,tia@gmail.com,USA,UT,Provo,tia@fb.com,"uu69,uu94,uu5,uu83,uu87,uu1",@tia,"uu82,uu43,uu46,uu76,uu37,uu22,uu63,uu76,uu78,uu99,uu72,uu88,uu39,uu17,uu57"
98,uu98,Tobi Trieu ,tobi@gmail.com,EU,SE,Malmo,tobi@fb.com,"uu88,uu21,uu90,uu18,uu89,uu23",@tobi,"uu99,uu3,uu16,uu87,uu57,uu65,uu12,uu11,uu69,uu69,uu29,uu32,uu86,uu11,uu97"
59,uu59,Trisha Tabron ,trisha@gmail.com,USA,TX,Austin,trisha@fb.com,"uu55,uu100,uu11,uu5,uu42,uu53",@trisha,"uu8,uu18,uu32,uu91,uu18,uu23,uu41,uu9,uu9,uu39,uu99,uu86,uu11,uu86,uu89"
93,uu93,Valene Vannest ,valene@gmail.com,EU,IT,Naples,valene@fb.com,"uu86,uu96,uu73,uu77,uu9,uu43",@valene,"uu65,uu83,uu76,uu85,uu50,uu15,uu32,uu57,uu78,uu54,uu92,uu10,uu37,uu23,uu70"
74,uu74,Veronique Vanasse ,veronique@gmail.com,EU,GB,London,veronique@fb.com,"uu48,uu8,uu58,uu68,uu22,uu31",@veronique,"uu29,uu45,uu51,uu1,uu24,uu81,uu82,uu98,uu49,uu48,uu9,uu33,uu52,uu75,uu86"
51,uu51,Vicky Vivian ,vicky@gmail.com,USA,UT,Salt Lake City,vicky@fb.com,"uu46,uu70,uu7,uu86,uu12,uu34",@vicky,"uu16,uu28,uu72,uu50,uu90,uu9,uu91,uu13,uu38,uu75,uu55,uu37,uu70,uu38,uu15"
21,uu21,Wanda Wrinkle ,wanda@gmail.com,USA,NY,New York,wanda@fb.com,"uu7,uu55,uu7,uu23,uu79,uu93",@wanda,"uu94,uu80,uu29,uu14,uu56,uu8,uu5,uu65,uu88,uu61,uu91,uu12,uu91,uu63,uu58"
1,uu1,Wilber Woodson,wilber@gmail.com,USA,CA,San Francisco,wilber@fb.com,"uu60,uu68,uu67,uu77,uu57,uu88",@wilber,"uu6,uu99,uu82,uu41,uu34,uu37,uu20,uu13,uu87,uu53,uu97,uu54,uu99,uu70,uu93"
24,uu24,Willy Wickert ,willy@gmail.com,USA,NY,Albany,willy@fb.com,"uu20,uu95,uu20,uu57,uu7,uu67",@willy,"uu96,uu79,uu48,uu11,uu8,uu76,uu73,uu53,uu98,uu55,uu36,uu32,uu27,uu62,uu68"
52,uu52,Zoe Zenz ,zoe@gmail.com,USA,TX,Austin,zoe@fb.com,"uu3,uu93,uu70,uu75,uu14,uu85",@zoe,"uu77,uu49,uu31,uu5,uu22,uu14,uu32,uu9,uu51,uu61,uu49,uu71,uu69,uu71,uu26"
